网站	简介	网址
Font Awesome	非常流行的大型图标库，支持 SVG 和 Webfont 格式	fontawesome.com
Heroicons	Tailwind CSS 团队出品，风格干净现代，适合 Web 应用	heroicons.com
Tabler Icons	极简线性图标，SVG 格式，开源可商用	tabler-icons.io
Feather Icons	轻量、优雅的开源图标集合	feathericons.com
Phosphor Icons	支持多种权重变化（线框、实心等），适合灵活风格设计	phosphoricons.com
Iconoir	巨大的图标库，风格统一，适合 SaaS 产品和 App	iconoir.com
Bootstrap Icons	来自 Bootstrap 团队，适合和 Bootstrap 项目搭配使用	icons.getbootstrap.com
Remix Icon	适合现代前端项目，风格饱满，丰富多样	remixicon.com
Simple Icons	收录了上千个品牌 Logo，适合社交分享、小程序等应用	simpleicons.org
SVG Repo	免费海量 SVG 图标资源库，可直接下载或编辑	svgrepo.com
